os,activePlayers
ANDROID,3745057
IOS,2880100
OTHER,0
WEB,17
CROSS_OS,81

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,374035138,4482019,20644505,2528560,10378,
638,Fruit Ninja (Google Play),ANDROID,3968220,2314323,7174616,24036,18519,
146,Fruit Ninja Lite,IOS,75411794,1671135,4885827,544531,9570,
450,Fruit Ninja,IOS,28466582,1341044,4921057,73685,4111,
147,Fruit Ninja HD Lite,IOS,31108006,981067,3232027,268777,5914,
641,Fruit Ninja (China Free),ANDROID,6657077,799826,4135364,109323,15941,
640,Fruit Ninja (China Paid),ANDROID,4651139,659904,1381994,4456,1043,
451,Fruit Ninja HD,IOS,7622176,416962,1916888,25903,1956,
205,Groupalia_iOs,IOS,898893,110861,0,0,0,
510,Nosferatu - Run from the Sun,IOS,700420,68261,141746,434,19,
273,Twitwheel,WEB,11703179,54672,0,350,0,
639,Fruit Ninja (Amazon Free),ANDROID,117517,44917,134940,2918,1286,
206,Groupalia_Android,ANDROID,311420,37527,0,0,0,
536,Nosferatu - Run from the Sun,ANDROID,665948,22221,76845,1899,14,
538,Nosferatu - Twilight,ANDROID,1534993,21841,85111,1042,8,
684,Fruit Ninja (Amazon Paid),ANDROID,37287,10574,75852,491,406,
492,런닝고-서브웨이서퍼,ANDROID,331931,9844,62287,4869,37,
125,FlirtMaps,CROSS_OS,418936,6709,0,0,0,
419,Paper Zombie,ANDROID,209745,3635,9112,16900,141,
36,Angry Frogs,ANDROID,3346704,2443,10163,27971,2,
221,I Must Run! Reloaded,IOS,459759,1050,1411,1339,0,
319,Eugenius,IOS,30259,488,0,0,0,
83,Asteroid Defense,ANDROID,773836,431,7478,4530,2,
94,Asteroid Defense 2,ANDROID,254236,352,317,1111,0,
569,Max & Mia,CROSS_OS,45913,329,560,1066,2,
241,TwinsMatcher,IOS,117968,315,150,69,6,
189,Agora Startup Idol,WEB,2714,305,3,588,1,
461,GameVil_FishingMaster,ANDROID,339341,304,0,0,0,
51,La Briscola With Prizes,IOS,50308,242,32,2299,0,
7,Beintoo Community,WEB,85034,239,0,10647,0,
335,Doodle Grub,ANDROID,148597,237,1882,1200,0,
575,Good vs. Bad,IOS,1306,231,0,129,0,
427,Black Water,IOS,46034,193,108,117,0,
413,CallFlakes,ANDROID,19282,192,0,75,0,
164,Beintoo iOS,IOS,3975,163,0,353,0,
654,Jumping On Sky HD LITE,IOS,713,162,15,2,0,
678,Extreme Moto,ANDROID,2217,162,817,8,0,
646,Nav.me,WEB,5358,127,0,544,0,
502,ClippingBook,WEB,276,120,0,155,0,
307,Ansquare,WEB,1412,112,624,1064,93,
498,프리스비2,ANDROID,10560,94,0,308,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,2603,82,345,479,3,
32,Guida delle città,IOS,16448,75,4,308,0,
202,Kung Fu Fox HD,IOS,5339,68,91,6,0,
163,Beintoo Android,ANDROID,5918,67,0,1616,0,
31,Video For You,WEB,27262,62,8,2789,0,
