os,activePlayers
ANDROID,7924725
IOS,3398986
OTHER,5452
WEB,29229
CROSS_OS,6689

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,228760620,7561035,38147322,1830640,26159,
146,Fruit Ninja Lite,IOS,39803189,2324465,6192375,261227,6163,
147,Fruit Ninja HD Lite,IOS,12770980,997367,2936637,115211,4062,
461,GameVil_FishingMaster,ANDROID,315422,280472,0,0,0,
205,Groupalia_iOs,IOS,532823,77943,0,0,0,
538,Nosferatu - Twilight,ANDROID,119110,54768,110332,233,41,
536,Nosferatu - Run from the Sun,ANDROID,194971,44291,91880,1590,107,
510,Nosferatu - Run from the Sun,IOS,191302,27970,84301,269,30,
273,Twitwheel,WEB,4851835,19296,0,183,0,
36,Angry Frogs,ANDROID,3116996,17722,59444,27607,10,
492,런닝고-서브웨이서퍼,ANDROID,64439,13581,138337,3412,305,
505,Tylted Beintoo Pandora Cubugs,WEB,363653,9653,0,479,0,
413,CallFlakes,ANDROID,19057,9105,0,73,0,
335,Doodle Grub,ANDROID,141093,5979,21613,1148,28,
125,FlirtMaps,CROSS_OS,302257,5323,0,0,0,
419,Paper Zombie,ANDROID,96398,2477,26050,7658,135,
221,I Must Run! Reloaded,IOS,344909,1627,815,1067,5,
319,Eugenius,IOS,21332,926,0,0,0,
427,Black Water,CROSS_OS,33030,901,573,93,2,
1,Beintoo demo app,OTHER,283,884,0,77,0,
94,Asteroid Defense 2,ANDROID,225826,729,643,1070,1,
486,Kunerango,WEB,839,695,69,16,0,
394,iLyngo SMS+,WEB,158,614,12,150,0,
83,Asteroid Defense,ANDROID,757146,611,12042,4485,0,
241,TwinsMatcher,IOS,60226,483,114,45,10,
51,La Briscola With Prizes,IOS,47103,325,20,2284,1,
450,Fruit Ninja,IOS,544,248,273,7,3,
206,Groupalia_Android,ANDROID,79520,187,0,0,0,
451,Fruit Ninja HD,IOS,456,175,214,0,1,
478,카운트붐붐,ANDROID,6789,160,166,18,0,
163,Beintoo Android,ANDROID,3011,156,0,920,0,
164,Beintoo iOS,IOS,91,147,0,5,0,
586,BingoNinja,IOS,17,136,0,1,0,
498,프리스비2,ANDROID,587,112,0,5,0,
31,Video For You,WEB,25088,111,32,2715,0,
34,Seegugio,WEB,299062,89,6,27473,0,
32,Guida delle città,IOS,14457,79,18,306,0,
202,Kung Fu Fox HD,IOS,3534,76,105,6,0,
575,Good vs. Bad,IOS,43,69,5,2,0,
539,Dog Pile,ANDROID,85,68,0,0,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,198,63,200,35,1,
107,iTalian News,IOS,9870,62,19,53,1,
7,Beintoo Community,WEB,64386,50,0,5907,0,
569,Max & Mia,IOS,25,48,11,0,0,
480,Syntraveler,WEB,39,40,0,27,0,
307,Ansquare,WEB,998,36,631,708,80,
353,MokbeeAndroid,ANDROID,177,35,3,2,0,
588,goCampus,WEB,9,32,61,0,0,
584,Selexy Benchmark,ANDROID,1,30,0,0,0,
35,Beintoo Game Demo,WEB,499,24,15,11,0,
590,LearnSmart,IOS,40,21,0,0,0,
582,goCampus,WEB,12,18,496,0,1,
502,ClippingBook,WEB,171,11,0,70,0,
587,goCampus,WEB,3,5,3,0,0,
2,Beintoo Sandbox,OTHER,116,3,2,23,0,
45,SiteToPdf + File Manager,IOS,9155,3,5,21,0,
395,Javascript Demo,WEB,323,3,16,10,0,
455,Escape the ape,IOS,2,3,0,1,0,
71,Deals of the day,ANDROID,906,2,0,309,0,
200,Dianping,ANDROID,10,2,0,0,0,
189,Agora Startup Idol,WEB,502,1,2,454,0,
541,BeQuick for Android,ANDROID,2,1,1,0,0,
566,MicroReaction,ANDROID,6,1,0,1,0,
576,subbareddy,ANDROID,2,1,3,0,0,
578,Muve The Muzzy,ANDROID,1,0,1,0,0,
3,App Friend Contest,OTHER,2,0,0,0,0,
