os,activePlayers
ANDROID,9106975
IOS,6391361
OTHER,10
WEB,32235
CROSS_OS,6915

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,267794613,8905520,40184078,1984782,31217,
146,Fruit Ninja Lite,IOS,51014150,3094149,8994714,322075,10608,
147,Fruit Ninja HD Lite,IOS,18431139,1720826,5788835,149245,5902,
450,Fruit Ninja,IOS,6040152,1181226,4454627,13069,4514,
451,Fruit Ninja HD,IOS,1784385,372873,1906908,5808,2078,
538,Nosferatu - Twilight,ANDROID,759996,85215,302946,508,51,
492,런닝고-서브웨이서퍼,ANDROID,194191,71411,418953,4039,282,
205,Groupalia_iOs,IOS,602520,70553,0,0,0,
510,Nosferatu - Run from the Sun,IOS,341653,36299,98081,320,35,
536,Nosferatu - Run from the Sun,ANDROID,322530,29851,96033,1731,69,
273,Twitwheel,WEB,5469015,21820,0,188,0,
36,Angry Frogs,ANDROID,3228859,18918,52695,27761,14,
125,FlirtMaps,CROSS_OS,321896,5297,0,0,0,
461,GameVil_FishingMaster,ANDROID,338325,4338,0,0,0,
419,Paper Zombie,ANDROID,114776,2113,25028,9248,176,
569,Max & Mia,CROSS_OS,3500,2000,2056,9,2,
221,I Must Run! Reloaded,IOS,354553,1572,975,1098,1,
413,CallFlakes,ANDROID,19142,1174,0,73,0,
319,Eugenius,IOS,25116,1080,0,0,0,
335,Doodle Grub,ANDROID,144121,1002,5076,1175,0,
427,Black Water,IOS,35318,802,522,102,0,
94,Asteroid Defense 2,ANDROID,232315,659,566,1078,0,
498,프리스비2,ANDROID,1683,497,0,39,0,
241,TwinsMatcher,IOS,71965,495,64,51,6,
83,Asteroid Defense,ANDROID,761576,464,8187,4499,1,
51,La Briscola With Prizes,IOS,48116,309,22,2289,3,
505,Tylted Beintoo Pandora Cubugs,WEB,388447,277,0,497,0,
7,Beintoo Community,WEB,70283,156,0,6959,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,795,147,592,107,8,
163,Beintoo Android,ANDROID,3875,145,0,1062,0,
32,Guida delle città,IOS,14930,136,2,306,0,
206,Groupalia_Android,ANDROID,79544,118,0,0,0,
478,카운트붐붐,ANDROID,7494,87,162,18,0,
202,Kung Fu Fox HD,IOS,4058,82,128,6,0,
34,Seegugio,WEB,299280,78,4,27497,0,
486,Kunerango,WEB,995,60,21,18,0,
575,Good vs. Bad,IOS,228,44,0,9,0,
31,Video For You,WEB,25398,26,10,2728,0,
469,WhereIsJack iOS,IOS,4,22,1,1,0,
