os,activePlayers
ANDROID,9106975
IOS,6391361
OTHER,34
WEB,34839
CROSS_OS,6915

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,288094528,8084276,33838164,2089517,29503,
146,Fruit Ninja Lite,IOS,56063279,2461772,7146197,365602,10899,
147,Fruit Ninja HD Lite,IOS,21155738,1354424,4419741,172455,6494,
450,Fruit Ninja,IOS,9664150,1146000,4226287,20301,3587,
451,Fruit Ninja HD,IOS,2565362,323336,1537718,8075,1417,
538,Nosferatu - Twilight,ANDROID,1056531,91438,321196,683,43,
205,Groupalia_iOs,IOS,642992,86159,0,0,0,
492,런닝고-서브웨이서퍼,ANDROID,263823,56076,302810,4530,298,
536,Nosferatu - Run from the Sun,ANDROID,401907,46089,138522,1774,46,
273,Twitwheel,WEB,6087177,33941,0,201,0,
510,Nosferatu - Run from the Sun,IOS,390199,25770,75768,335,22,
36,Angry Frogs,ANDROID,3272641,15203,54605,27816,14,
221,I Must Run! Reloaded,IOS,420831,8513,4235,1237,3,
125,FlirtMaps,CROSS_OS,332449,4674,0,0,0,
461,GameVil_FishingMaster,ANDROID,338723,3987,0,0,0,
419,Paper Zombie,ANDROID,126824,2110,22187,10414,142,
498,프리스비2,ANDROID,6467,2077,0,209,0,
319,Eugenius,IOS,27160,1168,0,0,0,
413,CallFlakes,ANDROID,19182,937,0,75,0,
94,Asteroid Defense 2,ANDROID,236692,730,630,1090,0,
427,Black Water,IOS,36757,700,409,104,0,
394,iLyngo SMS+,WEB,263,691,7,247,0,
335,Doodle Grub,ANDROID,145019,625,3004,1180,0,
189,Agora Startup Idol,WEB,829,546,2,461,0,
241,TwinsMatcher,IOS,80127,455,120,53,8,
83,Asteroid Defense,ANDROID,764013,402,7370,4508,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,1520,325,1043,267,14,
569,Max & Mia,CROSS_OS,4326,311,370,17,2,
51,La Briscola With Prizes,IOS,48538,293,18,2291,1,
505,Tylted Beintoo Pandora Cubugs,WEB,391723,258,0,502,0,
7,Beintoo Community,WEB,72986,174,0,7511,0,
486,Kunerango,WEB,1096,144,40,18,0,
206,Groupalia_Android,ANDROID,79562,118,0,0,0,
31,Video For You,WEB,25930,109,139,2748,0,
163,Beintoo Android,ANDROID,4341,99,0,1166,0,
575,Good vs. Bad,IOS,303,90,0,12,0,
202,Kung Fu Fox HD,IOS,4282,83,112,6,0,
32,Guida delle città,IOS,15197,74,11,307,0,
34,Seegugio,WEB,299463,69,5,27519,0,
602,AppTapTap,IOS,167,57,26,2,0,
478,카운트붐붐,ANDROID,7682,50,66,18,1,
469,WhereIsJack iOS,IOS,7,42,2,2,0,
609,Rollicking,ANDROID,6,35,0,0,0,
307,Ansquare,WEB,1066,32,386,764,7,
164,Beintoo iOS,IOS,155,30,0,14,0,
1,Beintoo demo app,OTHER,329,28,0,86,0,
595,training app,ANDROID,13,28,5,4,1,
628,PunkyPets,IOS,17,27,18,2,0,
430,Steampunk Death Race,IOS,6,15,0,0,0,
620,Beintoo Korean,IOS,9,14,0,0,0,
107,iTalian News,IOS,10169,13,6,53,0,
583,Cashyx,CROSS_OS,29,12,27,1,1,
617,Beintoo Sample,ANDROID,3,11,15,1,0,
353,MokbeeAndroid,ANDROID,192,8,1,3,0,
2,Beintoo Sandbox,OTHER,162,7,0,23,0,
33,myVolantino,CROSS_OS,52,7,0,0,0,
71,Deals of the day,ANDROID,924,7,3,311,1,
480,Syntraveler,WEB,39,6,0,27,0,
35,Beintoo Game Demo,WEB,541,5,4,14,0,
621,giveO2,IOS,0,5,0,0,0,
45,SiteToPdf + File Manager,IOS,9167,4,1,21,0,
502,ClippingBook,WEB,206,4,0,91,0,
603,idreamskyTest,ANDROID,2,3,0,1,0,
395,Javascript Demo,WEB,354,2,4,11,0,
600,GiveO2 Test,IOS,9,2,0,1,0,
613,Move The Muzzy!,ANDROID,2,2,0,0,0,
412,TestAppMopub,ANDROID,1,1,0,0,0,
539,Dog Pile,ANDROID,86,1,0,0,0,
586,BingoNinja,IOS,17,1,0,1,0,
3,App Friend Contest,OTHER,2,0,0,0,0,
4,App Share Contest,OTHER,0,0,0,0,0,
5,Beintoo Weekly Bedollars,OTHER,0,0,0,0,0,
8,Beintoo Demo Widget,OTHER,11,0,0,0,0,
9,App reserved 3,OTHER,0,0,0,0,0,
10,App reserved 4,OTHER,0,0,0,0,0,
11,Beintoo share,OTHER,0,0,0,0,0,
14,Talking Tom Cat,OTHER,0,0,0,0,0,
15,Fruit Ninja,OTHER,0,0,0,0,0,
16,Skype for Iphone,OTHER,0,0,0,0,0,
17,Shazam,OTHER,0,0,0,0,0,
19,Hungry Shark,OTHER,0,0,0,0,0,
20,Aroundme,OTHER,0,0,0,0,0,
23,Dropbox,OTHER,0,0,0,0,0,
25,Abduction,OTHER,0,0,0,0,0,
28,Wi-fi Army,OTHER,0,0,0,0,0,
30,Parallel Kingdom,OTHER,0,0,0,0,0,
37,test,ANDROID,0,0,0,0,0,
42,Contestr,ANDROID,1,0,0,0,0,
44,BePolled,WEB,2,0,0,0,0,
46,Shoutbook,WEB,0,0,0,0,0,
53,Arrotino,ANDROID,0,0,0,0,0,
