os,activePlayers
ANDROID,4516733
IOS,2391881
OTHER,0
WEB,16
CROSS_OS,77

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,323771278,10594000,44989281,2258012,23684,
146,Fruit Ninja Lite,IOS,63566092,2539029,8364267,434495,8810,
147,Fruit Ninja HD Lite,IOS,25068075,1372766,5155292,211236,4716,
450,Fruit Ninja,IOS,15420550,1347900,5426419,30854,3711,
451,Fruit Ninja HD,IOS,3832753,344753,1926645,10996,1273,
538,Nosferatu - Twilight,ANDROID,1432987,106397,390235,934,32,
205,Groupalia_iOs,IOS,702849,83840,0,0,0,
273,Twitwheel,WEB,7461061,47322,0,218,0,
492,런닝고-서브웨이서퍼,ANDROID,302463,35565,194896,4718,109,
510,Nosferatu - Run from the Sun,IOS,463777,29505,89889,358,20,
536,Nosferatu - Run from the Sun,ANDROID,488008,29011,121187,1818,19,
206,Groupalia_Android,ANDROID,95606,20238,0,0,0,
430,Steampunk Death Race,IOS,21125,16802,0,4,0,
36,Angry Frogs,ANDROID,3316010,15212,48649,27873,2,
427,Black Water,IOS,44524,8156,4688,115,0,
125,FlirtMaps,CROSS_OS,348386,6565,0,0,0,
419,Paper Zombie,ANDROID,152306,4240,23800,12583,129,
569,Max & Mia,CROSS_OS,42714,2740,3119,1021,4,
221,I Must Run! Reloaded,IOS,438548,2638,1454,1291,1,
461,GameVil_FishingMaster,ANDROID,339062,1291,0,0,0,
319,Eugenius,IOS,28270,824,0,0,0,
94,Asteroid Defense 2,ANDROID,242681,660,560,1098,0,
413,CallFlakes,ANDROID,19211,614,0,75,0,
83,Asteroid Defense,ANDROID,767374,565,8374,4513,0,
335,Doodle Grub,ANDROID,146105,471,2308,1188,0,
241,TwinsMatcher,IOS,92734,423,25,56,4,
486,Kunerango,WEB,1928,301,52,20,1,
498,프리스비2,ANDROID,8384,296,0,258,0,
51,La Briscola With Prizes,IOS,49045,282,23,2295,1,
189,Agora Startup Idol,WEB,984,281,9,482,3,
505,Tylted Beintoo Pandora Cubugs,WEB,393802,217,0,502,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,2042,170,686,378,13,
638,Fruit Ninja (Google Play),ANDROID,637,132,0,4,0,
164,Beintoo iOS,IOS,536,119,0,73,0,
7,Beintoo Community,WEB,76192,118,0,8294,0,
31,Video For You,WEB,26443,92,48,2761,0,
353,MokbeeAndroid,ANDROID,346,91,1,3,0,
34,Seegugio,WEB,299709,89,5,27528,0,
575,Good vs. Bad,IOS,452,87,0,19,0,
620,Beintoo Korean,IOS,13,87,0,0,0,
640,Fruit Ninja (China Paid),ANDROID,262,87,0,1,0,
32,Guida delle città,IOS,15567,84,6,308,0,
202,Kung Fu Fox HD,IOS,4714,84,573,6,0,
163,Beintoo Android,ANDROID,4771,75,0,1320,0,
641,Fruit Ninja (China Free),ANDROID,227,75,0,0,0,
394,iLyngo SMS+,WEB,387,62,30,312,0,
630,com.kokakiki.movethemuzzy,IOS,2,45,37,1,0,
602,AppTapTap,IOS,445,39,21,3,0,
654,Jumping On Sky HD LITE,IOS,15,36,14,1,0,
478,카운트붐붐,ANDROID,7736,34,91,18,2,
307,Ansquare,WEB,1099,31,211,798,16,
480,Syntraveler,WEB,39,31,0,27,0,
629,com.plugin.beintoo,ANDROID,32,25,16,2,0,
639,Fruit Ninja (Amazon),ANDROID,87,23,0,0,0,
645,TitaniumBeintoo,CROSS_OS,15,18,13,1,0,
107,iTalian News,IOS,10210,12,2,53,0,
2,Beintoo Sandbox,OTHER,196,11,18,23,0,
45,SiteToPdf + File Manager,IOS,9172,5,2,21,0,
71,Deals of the day,ANDROID,936,5,10,313,0,
643,TestApplication,IOS,3,5,6,1,0,
595,training app,ANDROID,23,4,0,4,0,
628,PunkyPets,IOS,69,4,19,3,0,
33,myVolantino,CROSS_OS,58,3,0,0,0,
35,Beintoo Game Demo,WEB,559,3,2,14,0,
502,ClippingBook,WEB,213,3,0,97,0,
621,giveO2,IOS,12,3,0,5,0,
1,Beintoo demo app,OTHER,337,2,0,86,0,
82,7 e Mezzo,WEB,5686,2,0,867,0,
395,Javascript Demo,WEB,360,2,1,11,0,
469,WhereIsJack iOS,IOS,8,1,0,2,0,
539,Dog Pile,ANDROID,86,1,0,0,0,
583,Cashyx,CROSS_OS,33,1,0,1,0,
14,Talking Tom Cat,OTHER,0,0,0,0,0,
604,Test,ANDROID,1,0,5,0,0,
