os,activePlayers
ANDROID,3787543
IOS,2902466
WEB,64
CROSS_OS,167

 id,name,os,players,daps,daily submits,users,daus
73,Fruit Ninja Free,ANDROID,361598234,6382955,26199226,2454125,16776,
450,Fruit Ninja,IOS,25770587,2646489,10110017,66064,6618,
146,Fruit Ninja Lite,IOS,71354454,1778785,5025538,505156,8782,
147,Fruit Ninja HD Lite,IOS,29027193,1016097,3409366,248702,5305,
451,Fruit Ninja HD,IOS,6970686,875281,4039978,23558,2984,
641,Fruit Ninja (China Free),ANDROID,1976346,650705,3091147,35780,13572,
640,Fruit Ninja (China Paid),ANDROID,1085548,339211,559313,1031,440,
205,Groupalia_iOs,IOS,835977,118686,0,0,0,
273,Twitwheel,WEB,9974354,46791,0,261,0,
206,Groupalia_Android,ANDROID,246880,37384,0,0,0,
538,Nosferatu - Twilight,ANDROID,1506371,25421,111137,1017,17,
536,Nosferatu - Run from the Sun,ANDROID,599911,21729,85783,1866,23,
510,Nosferatu - Run from the Sun,IOS,551332,21023,66645,404,19,
492,런닝고-서브웨이서퍼,ANDROID,322040,13433,73951,4809,36,
125,FlirtMaps,CROSS_OS,396174,6748,0,0,0,
36,Angry Frogs,ANDROID,3335668,2827,11492,27926,3,
419,Paper Zombie,ANDROID,183104,1870,14929,14839,86,
221,I Must Run! Reloaded,IOS,453337,1334,1244,1332,0,
319,Eugenius,IOS,29625,539,0,0,0,
569,Max & Mia,CROSS_OS,45003,458,609,1052,1,
413,CallFlakes,ANDROID,19264,418,0,75,0,
461,GameVil_FishingMaster,ANDROID,339270,402,0,0,0,
94,Asteroid Defense 2,ANDROID,250431,393,1125,1108,1,
646,Nav.me,WEB,4515,393,0,350,0,
498,프리스비2,ANDROID,10205,353,0,301,0,
189,Agora Startup Idol,WEB,2462,313,5,554,3,
241,TwinsMatcher,IOS,109318,282,128,66,8,
51,La Briscola With Prizes,IOS,49877,272,13,2295,2,
335,Doodle Grub,ANDROID,147667,271,1226,1196,1,
83,Asteroid Defense,ANDROID,771332,267,11659,4528,0,
427,Black Water,IOS,45673,212,144,117,0,
164,Beintoo iOS,IOS,3001,206,0,256,0,
575,Good vs. Bad,IOS,969,180,0,85,0,
7,Beintoo Community,WEB,81605,143,0,9833,0,
639,Fruit Ninja (Amazon Free),ANDROID,494,139,76,2,0,
654,Jumping On Sky HD LITE,IOS,471,136,14,2,0,
664,TinBall2,IOS,1427,108,24,0,0,
32,Guida delle città,IOS,16144,81,7,308,0,
353,MokbeeAndroid,ANDROID,481,80,12,3,0,
638,Fruit Ninja (Google Play),ANDROID,1380,73,34,11,1,
202,Kung Fu Fox HD,IOS,5206,68,132,6,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,2415,68,328,451,3,
163,Beintoo Android,ANDROID,5460,50,0,1520,0,
430,Steampunk Death Race,IOS,21382,49,0,4,0,
684,Fruit Ninja (Amazon Paid),ANDROID,58,48,0,3,0,
34,Seegugio,WEB,300042,36,2,27534,0,
31,Video For You,WEB,26905,35,14,2778,0,
678,Extreme Moto,ANDROID,73,26,68,4,0,
2,Beintoo Sandbox,OTHER,241,24,0,28,0,
307,Ansquare,WEB,1148,24,1094,840,0,
602,AppTapTap,IOS,718,22,28,4,0,
394,iLyngo SMS+,WEB,562,19,8,385,2,
598,Latin Angles,OTHER,26,12,0,2,0,
478,카운트붐붐,ANDROID,7799,11,26,18,0,
107,iTalian News,IOS,10236,9,18,53,0,
502,ClippingBook,WEB,237,8,0,118,0,
33,myVolantino,CROSS_OS,64,6,0,0,0,
673,sampleApp,IOS,6,6,7,2,0,
35,Beintoo Game Demo,WEB,589,5,5,15,0,
71,Deals of the day,ANDROID,957,5,4,318,1,
688,Undertaker Fan,CROSS_OS,0,5,2,0,1,
620,Beintoo Korean,IOS,13,4,0,1,0,
395,Javascript Demo,WEB,381,3,4,11,0,
480,Syntraveler,WEB,39,3,0,27,0,
621,giveO2,IOS,41,3,0,21,0,
665,xone,OTHER,2,3,0,0,0,
45,SiteToPdf + File Manager,IOS,9181,2,1,21,0,
399,Celebrity Finder,CROSS_OS,24,2,3,1,0,
539,Dog Pile,ANDROID,86,2,0,0,0,
680,GiveO2,ANDROID,3,2,0,1,0,
1,Beintoo demo app,OTHER,346,1,0,86,0,
645,TitaniumBeintoo,CROSS_OS,16,1,0,1,0,
663,Pandora,CROSS_OS,204,1,0,0,0,
679,aArt,IOS,1,1,2,1,0,
687,Gowri Shankar,WEB,0,0,4,0,0,
3,App Friend Contest,OTHER,2,0,0,0,0,
4,App Share Contest,OTHER,0,0,0,0,0,
5,Beintoo Weekly Bedollars,OTHER,0,0,0,0,0,
8,Beintoo Demo Widget,OTHER,11,0,0,0,0,
9,App reserved 3,OTHER,0,0,0,0,0,
10,App reserved 4,OTHER,0,0,0,0,0,
11,Beintoo share,OTHER,0,0,0,0,0,
12,Tap Tap Revenge 3,OTHER,0,0,0,0,0,
13,Paper Toss,OTHER,0,0,0,0,0,
14,Talking Tom Cat,OTHER,0,0,0,0,0,
15,Fruit Ninja,OTHER,0,0,0,0,0,
16,Skype for Iphone,OTHER,0,0,0,0,0,
17,Shazam,OTHER,0,0,0,0,0,
19,Hungry Shark,OTHER,0,0,0,0,0,
20,Aroundme,OTHER,0,0,0,0,0,
22,Seeismic,OTHER,0,0,0,0,0,
23,Dropbox,OTHER,0,0,0,0,0,
25,Abduction,OTHER,0,0,0,0,0,
26,Robo Defense,OTHER,0,0,0,0,0,
27,Gem Miner,OTHER,0,0,0,0,0,
28,Wi-fi Army,OTHER,0,0,0,0,0,
30,Parallel Kingdom,OTHER,0,0,0,0,0,
37,test,ANDROID,0,0,0,0,0,
39,Poker texas test,WEB,0,0,0,1,0,
40,Beintoo Sponsor of Games Developer Conference,WEB,0,0,0,0,0,
