os,activePlayers
ANDROID,3864381
IOS,2505795
WEB,9
CROSS_OS,58

 id,name,os,players,daps,daily submits,users,daus
638,Fruit Ninja (Google Play),ANDROID,23716929,2891288,9678500,156139,21490,
73,Fruit Ninja Free,ANDROID,383255438,2426744,11868302,2559995,5227,
146,Fruit Ninja Lite,IOS,80985605,1651758,5328504,600519,9092,
450,Fruit Ninja,IOS,31738921,1108456,4278216,82214,3487,
147,Fruit Ninja HD Lite,IOS,34155160,1014437,3731731,302961,7232,
640,Fruit Ninja (China Paid),ANDROID,12767291,968857,2721438,12167,1284,
641,Fruit Ninja (China Free),ANDROID,10918723,700345,4009647,180753,12800,
451,Fruit Ninja HD,IOS,8481383,353384,1739690,28467,1692,
639,Fruit Ninja (Amazon Free),ANDROID,510772,55729,194958,12280,1378,
536,Nosferatu - Run from the Sun,ANDROID,793211,38001,119440,1937,19,
205,Groupalia_iOs,IOS,952483,34568,0,0,0,
206,Groupalia_Android,ANDROID,362515,20959,0,0,0,
510,Nosferatu - Run from the Sun,IOS,763311,17257,58962,467,18,
684,Fruit Ninja (Amazon Paid),ANDROID,129892,13091,64606,1367,214,
538,Nosferatu - Twilight,ANDROID,1570053,12325,53524,1069,8,
492,런닝고-서브웨이서퍼,ANDROID,341434,6982,54065,4932,34,
36,Angry Frogs,ANDROID,3363233,2387,11764,28025,1,
419,Paper Zombie,ANDROID,234282,1598,3888,18927,104,
125,FlirtMaps,CROSS_OS,430277,1245,0,0,0,
221,I Must Run! Reloaded,IOS,469281,1142,708,1351,0,
319,Eugenius,IOS,30965,372,0,0,0,
94,Asteroid Defense 2,ANDROID,258990,295,397,1124,0,
569,Max & Mia,CROSS_OS,46956,264,435,1083,0,
51,La Briscola With Prizes,IOS,50883,229,15,2302,1,
83,Asteroid Defense,ANDROID,776656,229,4324,4534,0,
241,TwinsMatcher,IOS,127624,221,40,70,6,
575,Good vs. Bad,IOS,1624,216,0,157,0,
335,Doodle Grub,ANDROID,149838,194,902,1208,0,
189,Agora Startup Idol,WEB,3549,186,2,591,0,
427,Black Water,IOS,46447,152,74,118,0,
461,GameVil_FishingMaster,ANDROID,339400,147,0,0,0,
7,Beintoo Community,WEB,89841,142,0,11435,0,
678,Extreme Moto,ANDROID,5450,129,864,21,0,
164,Beintoo iOS,IOS,5198,118,0,485,0,
654,Jumping On Sky HD LITE,IOS,1004,114,11,2,0,
273,Twitwheel,WEB,11744776,106,0,352,0,
413,CallFlakes,ANDROID,19310,98,0,75,0,
163,Beintoo Android,ANDROID,6807,73,0,1761,0,
498,프리스비2,ANDROID,10944,63,0,314,0,
32,Guida delle città,IOS,16807,61,1,308,0,
353,MokbeeAndroid,ANDROID,565,49,0,3,0,
556,노스페라투 - 태양을 피하는 방법,ANDROID,2703,43,190,494,2,
664,TinBall2,IOS,1560,33,6,0,0,
430,Steampunk Death Race,IOS,21473,29,0,4,0,
665,Vodafone Be,OTHER,24,29,0,1,0,
720,paramr,WEB,3,27,6,0,0,
31,Video For You,WEB,27661,24,1,2805,0,
202,Kung Fu Fox HD,IOS,5383,23,98,6,0,
722,MobileCoE,ANDROID,2,23,31,0,0,
34,Seegugio,WEB,300188,21,0,27537,0,
699,Highway Riding,ANDROID,329,18,80,0,0,
602,AppTapTap,IOS,960,16,11,6,0,
646,Nav.me,WEB,5516,13,0,558,0,
