#COUNTRY,WEST,EST,SUD,NORTH,POPULATION
Afghanistan,60,75,29,38,31412000
Albania,19,21,39,42,3195000
Algeria,-8,12,18,37,36300000
Andorra,1,1,42,42,8408
Angola,11,24,-18,-4,19082000
AntiguaandBarbuda,-61,-61,16,17,8900
Argentina,-73,-53,-55,-21,40091359
Armenia,43,46,38,41,3264500
Australia,112,167,-54,-9,22694331
Austria,9,17,46,49,8404252
Azerbaijan,44,50,38,41,9165000
Bahamas,-79,-72,20,27,35366
Bahrain,50,50,25,26,1262000
Bangladesh,88,92,20,26,151186000
Barbados,-59,-59,13,13,27300
Belarus,23,32,51,56,9469000
Belgium,2,6,49,51,10918405
Belize,-89,-87,15,18,33320
Benin,0,3,6,12,8778646
Bhutan,88,92,26,28,69582
Bolivia,-69,-57,-22,-9,10426154
BosniaandHerzegovina,15,19,42,45,3843126
Botswana,20,29,-26,-17,1800098
Brazil,-60,-28,-33,5,190732694
Brunei,114,115,4,5,39900
Bulgaria,22,28,41,44,7364570
BurkinaFaso,-5,2,9,15,15730977
Burundi,28,30,-4,-2,8383000
Cambodia,102,107,10,14,13395682
Cameroon,8,16,1,0,19406100
Canada,-141,-52,49,83,34569000
Canada,-95,-87,48,49,34569000
Canada,-87,-82,46,49,34569000
Canada,-82,-78,42,49,34569000
Canada,-78,-75,43,49,34569000
Canada,-75,-70,45,49,34569000
Canada,-67,-58,45,49,34569000
CapeVerde,-25,-22,14,17,49158
CentralAfricanRepublic,14,27,2,0,4401000
Chad,13,24,7,23,11227000
Chile,-109,-66,-56,-17,17274900
China,73,134,3,53,1339724852
Colombia,-81,-67,-4,13,46136000
Comoros,43,44,-12,-11,73500
CostaRica,-85,-82,8,11,4563538
Coted'Ivoire,-8,-2,4,0,19738000
Croatia,13,19,42,46,4290612
Cuba,-84,-74,19,23,11241161
Cyprus,32,34,34,35,80444
CzechRepublic,12,18,48,51,10535811
Congo,12,31,-13,5,65966000
Denmark,-73,15,54,57,5564219
Djibouti,41,43,10,12,88900
Dominica,-61,-61,15,15,6800
DominicanRepublic,-72,-68,17,19,9378818
EastTimor,124,127,-9,-8,1124000
Ecuador,-92,-75,-5,1,14306876
Egypt,24,35,21,31,80751000
ElSalvador,-90,-87,13,14,5744113
EquatorialGuinea,5,11,-1,3,70000
Eritrea,36,43,12,17,5254000
Estonia,21,28,57,59,1340122
Ethiopia,33,48,3,14,82101998
Fiji,177,-178,-21,-12,86100
Finland,19,31,59,70,5390100
France,-4,7,41,50,65821885
Gabon,8,14,-3,2,1505000
Georgia,41,46,41,43,4436400
Germany,5,15,47,55,81751602
