#COUNTRY,WEST,EST,SUD,NORTH,POPULATION
Canada,-141,-52,49,83,34569000
Canada,-95,-87,48,49,34569000
Canada,-87,-82,46,49,34569000
Canada,-82,-78,42,49,34569000
Canada,-78,-75,43,49,34569000
Canada,-75,-70,45,49,34569000
Canada,-67,-58,45,49,34569000
Italy,6,13,37,47,60626442
Italy,13,18,35,42,60626442
UnitedStates,-124,-64,29,41,312112000
UnitedStates,-124,-95,41,48,312112000
UnitedStates,-95,-83,41,47,312112000
UnitedStates,-81,-70,41,42,312112000
UnitedStates,-78,-75,41,43,312112000
UnitedStates,-75,-67,42,45,312112000
UnitedStates,-70,-67,44,47,312112000
UnitedStates,-83,-79,24,29,312112000
Alaska,-167,-140,58,71,0

